target,english_name,n_tmh_tmhmm,n_tmh_pureseqtm,n_aas_tmh_tmhmm,n_aas_tmh_pureseqtm,n_aas_non_tmh_tmhmm,n_aas_non_tmh_pureseqtm,n_aas
covid,SARS-CoV-2,0,45,0,920,0,13399,14319
flua,Influenza A,0,4,0,94,0,5204,5298
hepa,Hepatitus A,0,1,0,19,0,2208,2227
hiv,HIV,0,4,0,87,0,3481,3568
human,Human,0,43288,0,859256,0,24905800,25772679
myco,MTb,0,3596,0,68860,0,1262791,1331651
polio,Polio,0,3,0,59,0,2215,2274
rhino,Rhinovirus,0,2,0,27,0,2137,2164
